Gabarito,SentiWordNet,SenticNet,Emoticons,Panas-t,Sasa,Happiness Index,Sentistrength,Emolex,NRC Emotion,Opnion Lexicon,Emoticon Distant Supervisor,SO-CAL,Pattern.En,Umigon,AFINN,Opnion Finder,Vader,Sentiment 140,Combined Method
-1,1,1,0,0,0,1,0,-1,0,1,1,-1,1,-1,1,-1,1,-1,1
1,1,1,0,0,1,1,0,1,-1,1,1,1,1,-1,1,1,1,-1,1
1,1,1,0,1,0,1,0,1,0,1,1,1,1,-1,1,-1,1,1,1
1,-1,1,0,0,0,-1,0,-1,0,1,1,1,-1,0,1,-1,1,-1,-1
-1,1,1,0,1,0,1,0,-1,1,1,1,1,-1,1,1,0,1,-1,1
1,1,1,1,1,0,1,0,1,0,1,1,1,1,-1,1,1,1,-1,1
1,1,1,1,0,0,1,0,1,-1,0,1,1,1,-1,1,-1,1,-1,1
1,1,1,0,1,0,1,0,-1,0,-1,1,1,1,-1,1,-1,1,-1,1
1,1,1,0,1,0,1,-1,1,0,1,1,1,1,-1,1,-1,1,1,1
1,1,1,0,0,0,1,1,1,0,1,1,1,1,-1,1,0,1,1,1
-1,1,1,0,0,0,1,0,1,0,0,1,1,-1,0,1,0,1,1,1
1,1,1,0,1,1,1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,1
1,1,1,0,0,0,1,0,1,0,0,1,-1,1,-1,1,0,1,1,1
1,-1,1,0,0,0,1,0,0,0,0,1,-1,-1,-1,1,-1,1,-1,-1
-1,1,1,0,0,0,1,0,-1,0,-1,1,-1,1,-1,-1,0,-1,1,1
1,1,1,0,0,0,1,0,-1,0,-1,1,-1,1,-1,1,1,1,-1,1
-1,1,1,0,-1,0,1,0,-1,-1,-1,1,1,-1,-1,1,-1,1,1,-1
1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,0,1,0,1,0,-1,-1,1,1,1,1,-1,1,-1,1,-1,1
1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
-1,1,1,0,1,0,1,0,-1,-1,-1,1,1,1,-1,1,-1,1,1,1
-1,-1,1,0,0,0,1,0,-1,0,1,1,-1,1,-1,1,1,1,1,-1
1,1,1,0,0,1,1,0,1,-1,-1,1,1,1,-1,1,-1,1,1,1
1,1,1,0,1,0,1,0,1,-1,1,1,1,1,-1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,-1,1,1,1,1,0,1,0,1,1,1
-1,1,1,0,1,0,1,0,1,0,1,1,1,1,-1,1,0,1,1,1
1,1,1,0,1,0,1,0,1,-1,1,1,1,1,1,1,0,1,1,1
-1,1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,0,1,1,-1,1
1,1,1,0,0,0,1,0,-1,0,0,1,-1,1,-1,1,0,1,-1,1
1,1,1,0,0,0,1,0,-1,0,-1,1,1,1,0,1,-1,1,1,1
1,1,1,0,0,0,1,0,1,0,-1,1,-1,1,-1,1,1,1,-1,1
-1,1,-1,-1,1,0,-1,0,-1,0,-1,1,1,1,1,-1,-1,-1,1,-1
1,-1,1,0,0,0,1,0,1,0,1,1,1,-1,0,1,1,1,1,-1
1,1,1,0,1,1,1,0,-1,-1,1,1,1,1,0,1,0,1,1,1
1,-1,1,-1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,-1,-1
-1,1,1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
-1,-1,1,0,0,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1
-1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,-1
1,1,1,0,0,0,1,0,1,0,-1,1,1,1,1,1,1,1,-1,1
-1,1,1,0,0,0,1,0,1,-1,1,1,-1,1,-1,-1,-1,1,-1,1
-1,-1,-1,0,1,0,-1,0,-1,0,-1,1,1,-1,0,-1,1,-1,1,-1
-1,1,1,0,1,0,1,0,0,-1,1,1,-1,1,0,1,1,-1,-1,1
1,1,1,0,0,0,1,0,1,0,-1,1,1,1,1,1,1,1,1,1
1,-1,1,0,0,0,1,-1,-1,0,-1,1,-1,1,-1,1,0,1,1,-1
1,1,1,0,0,0,1,0,1,-1,1,1,1,-1,-1,1,0,1,-1,1
1,1,1,-1,0,0,1,0,1,0,-1,1,1,1,-1,1,-1,1,1,1
-1,1,1,0,0,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1
1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1,-1,1,0,0,0,1,0,1,-1,-1,1,1,1,-1,1,-1,1,-1,1
-1,1,1,0,0,1,1,0,-1,-1,1,1,-1,1,-1,0,1,1,-1,1
1,-1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,1,0,-1,0,-1,1,1,1,1,0,0,1,1,1
1,-1,1,0,0,0,-1,1,1,1,1,1,1,0,0,1,0,1,-1,-1
1,1,1,0,0,0,1,1,1,0,0,1,1,1,-1,1,1,1,1,1
-1,-1,1,0,1,0,1,0,-1,-1,0,1,1,1,-1,0,0,-1,-1,1
-1,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1
-1,1,1,0,0,1,1,0,1,-1,1,1,1,1,-1,1,-1,1,1,1
-1,-1,1,0,1,1,1,0,-1,-1,1,1,1,1,-1,1,-1,1,1,1
1,-1,1,0,0,0,0,0,-1,-1,1,1,1,1,-1,1,0,1,1,-1
-1,1,1,0,0,0,1,0,1,-1,-1,1,1,1,0,1,1,1,1,1
-1,1,1,0,0,0,1,0,1,0,1,1,1,1,-1,1,1,1,-1,1
-1,-1,1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,0,1,0,1,0,-1,0,1,1,1,1,-1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
-1,1,1,-1,0,0,1,0,1,-1,-1,1,1,1,-1,1,0,-1,1,1
1,1,1,0,0,1,1,0,1,-1,1,1,1,1,-1,1,-1,1,-1,1
-1,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,-1
1,1,1,0,-1,0,1,0,1,-1,1,1,1,1,-1,1,1,1,1,1
-1,1,1,0,1,0,1,0,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1
1,-1,1,0,0,0,0,0,0,-1,1,1,1,1,0,1,-1,1,-1,-1
1,1,1,0,0,1,1,1,-1,0,1,1,1,1,-1,1,1,1,1,1
1,1,1,0,0,0,1,0,1,-1,1,1,1,1,-1,1,0,1,1,1
1,1,1,1,1,1,1,0,1,0,0,1,1,1,-1,1,-1,1,1,1
1,1,1,0,0,0,1,0,1,0,0,1,1,-1,0,1,0,1,-1,1
1,1,1,1,1,1,1,0,1,0,0,1,1,1,-1,1,-1,1,1,1
1,1,1,0,0,0,1,0,-1,0,1,1,1,1,-1,1,-1,1,1,1
1,1,1,0,1,0,1,0,1,0,0,1,1,1,-1,1,-1,1,1,1
1,1,1,-1,0,0,1,0,1,0,1,1,1,1,1,1,-1,1,1,1
-1,1,1,0,0,1,1,-1,-1,0,1,1,1,1,0,1,1,1,-1,1
1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
-1,1,1,0,0,1,-1,0,1,0,0,1,-1,-1,-1,0,-1,1,1,1
-1,1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1
-1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,1
1,-1,1,0,0,1,1,0,-1,-1,0,1,-1,-1,-1,1,-1,1,-1,1
1,1,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,0,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1
1,-1,1,0,1,1,1,0,1,0,1,1,1,1,-1,1,1,1,1,1
1,1,1,0,1,1,1,0,1,0,1,1,1,-1,-1,1,1,1,-1,1
-1,1,1,0,0,0,1,0,1,-1,1,1,-1,1,-1,1,-1,1,-1,1
1,1,1,0,0,1,1,0,-1,0,0,1,-1,1,-1,1,0,1,-1,1
1,1,1,0,0,0,1,0,-1,0,-1,1,1,1,-1,1,-1,1,-1,1
1,1,1,0,0,0,1,1,1,0,1,1,1,-1,0,1,0,1,1,1
1,1,1,0,0,1,1,1,1,0,1,1,1,1,-1,1,0,1,1,1
-1,1,1,0,0,0,-1,0,-1,0,-1,1,-1,1,-1,0,-1,1,-1,1
1,1,1,0,0,0,1,0,-1,-1,0,1,1,1,0,1,1,1,-1,1
-1,-1,1,0,1,0,1,0,-1,-1,0,1,1,-1,-1,1,1,1,1,1
1,1,1,0,0,0,1,0,0,-1,-1,1,1,1,-1,1,0,1,1,1
-1,-1,1,0,0,0,1,0,-1,0,-1,1,1,-1,-1,1,-1,1,-1,1
1,1,1,0,0,0,1,0,1,-1,0,1,1,-1,0,1,0,1,1,1
1,1,1,0,0,0,1,0,-1,-1,1,1,-1,1,-1,1,-1,1,-1,1
-1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,-1,1,1,-1,1
1,1,1,0,0,0,1,0,-1,0,-1,1,1,1,-1,-1,1,1,-1,1
-1,1,1,0,0,0,1,0,-1,-1,-1,1,1,-1,-1,1,0,1,-1,1
1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,0,1,0,-1,0,1,1,1,1,0,1,1,1,1,1
1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,-1,1
1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
-1,1,1,0,0,0,1,0,-1,-1,0,1,-1,1,-1,-1,0,-1,-1,1
1,1,1,0,0,0,1,0,-1,-1,0,1,-1,1,0,0,0,1,1,1
1,1,1,0,0,0,1,0,0,-1,0,1,1,1,0,0,-1,1,-1,1
1,1,1,-1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
1,1,1,0,0,0,1,0,1,-1,1,1,1,1,0,1,0,1,-1,1
-1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,1,0,-1,1,-1
-1,1,1,0,0,0,1,0,1,-1,-1,1,1,1,0,1,0,1,-1,1
1,1,1,0,0,0,1,0,0,-1,1,1,1,1,-1,1,0,1,1,1
-1,1,1,0,0,0,1,0,1,-1,0,1,1,1,0,1,0,1,-1,1
-1,1,1,0,0,1,0,0,1,-1,-1,1,-1,0,0,0,-1,-1,-1,1
-1,1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,0,1,-1,1,-1,1
-1,1,1,0,0,0,-1,0,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
-1,1,1,0,0,1,-1,0,0,-1,0,1,-1,1,0,-1,0,-1,-1,1
1,-1,1,0,0,0,0,0,1,0,0,1,1,-1,0,1,0,1,1,-1
1,1,1,0,0,0,1,0,-1,0,1,1,1,1,1,1,1,1,1,1
-1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-1,1,1,0,-1,0,1,0,1,-1,1,1,1,1,-1,1,0,1,1,1
-1,-1,1,0,1,0,1,0,-1,-1,-1,1,-1,1,1,-1,0,-1,-1,1
-1,1,1,0,0,0,1,0,-1,-1,0,1,-1,1,-1,1,0,1,-1,1
-1,1,1,0,0,1,1,0,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,1
-1,1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,0,0,1,-1,1
-1,1,1,0,0,0,1,0,-1,0,-1,1,1,1,-1,1,1,1,1,1
1,1,1,0,0,1,1,0,-1,0,1,1,1,1,1,1,1,1,1,1
-1,1,1,0,0,0,1,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,1
-1,1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,1
1,1,1,0,0,1,1,0,-1,0,0,1,1,1,1,1,1,1,-1,1
-1,-1,1,0,1,0,1,0,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1
1,1,1,0,0,1,1,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,-1,1
-1,1,1,0,0,1,1,0,1,0,-1,1,1,1,1,1,1,1,-1,1
1,1,1,0,0,0,1,0,1,-1,-1,1,1,1,-1,1,1,1,-1,1
1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,-1,1,-1,1
-1,1,1,0,0,0,1,0,1,-1,-1,1,1,1,-1,1,0,1,1,1
-1,1,1,0,0,0,1,0,1,0,1,1,1,1,-1,1,-1,1,1,1
1,1,1,0,0,1,1,0,1,-1,1,1,1,1,-1,1,1,1,-1,1
-1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1
1,1,1,0,0,0,1,0,1,-1,1,1,1,1,-1,1,1,1,1,1
-1,1,1,-1,0,0,1,0,1,-1,1,1,-1,1,-1,-1,-1,1,-1,1
1,-1,1,0,0,0,1,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1
-1,1,1,0,0,0,1,0,1,-1,-1,1,1,1,-1,1,1,1,1,1
-1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1
1,1,1,0,0,0,1,0,0,-1,-1,1,1,1,-1,1,-1,1,-1,1
-1,-1,1,0,0,0,1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1
-1,1,1,0,0,0,1,0,1,-1,-1,1,1,1,-1,1,1,-1,-1,1
-1,1,1,0,0,1,1,0,-1,0,-1,1,1,1,-1,1,-1,1,-1,1
-1,1,1,0,0,1,1,0,-1,0,1,1,1,1,-1,1,1,1,1,1
1,1,1,0,0,1,1,0,-1,0,0,1,1,1,0,1,-1,1,-1,1
1,1,1,0,0,0,1,0,1,0,1,1,1,1,-1,1,0,1,1,1
1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
1,1,1,0,0,0,1,0,-1,0,1,1,1,1,0,1,-1,1,-1,1
1,1,1,0,0,0,1,0,-1,-1,0,1,1,1,-1,1,1,1,1,1
1,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,1
-1,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1
-1,1,1,0,0,0,1,-1,1,-1,-1,1,-1,1,-1,-1,0,-1,-1,1
-1,1,1,0,0,0,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1
-1,1,1,0,0,1,1,0,-1,0,0,1,-1,1,-1,1,0,1,-1,1
1,1,1,0,0,1,1,1,-1,0,1,1,1,1,1,1,0,1,1,1
-1,1,1,-1,1,0,0,-1,-1,-1,0,1,0,1,0,1,0,1,1,-1
